artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,
Adele,19,Make You Feel My Love,212040,FALSE,0.317,0.172,0,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3,soul,
Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom,197986,FALSE,0.774,0.75,0,-4.927,0,0.0412,0.00207,1.78E-05,0.0808,0.927,118.015,4,power-pop,
Daddy Yankee;Bad Bunny,Vuelve,Vuelve,279613,FALSE,0.734,0.531,0,-5.662,1,0.0321,0.196,0,0.119,0.199,130.024,4,latino,
Billy Joel,The Stranger (Legacy Edition),Vienna,214240,FALSE,0.532,0.495,0,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4,singer-songwriter,
Dr. Dre;Eminem,2001,Forgot About Dre,222293,TRUE,0.924,0.74,0,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,4,funk,
Bad Bunny;Daddy Yankee,YHLQMDLG,La Santa,206420,TRUE,0.744,0.868,0,-4.524,1,0.047,0.0326,0,0.0822,0.586,93.037,4,reggae,
Bad Bunny,Un Verano Sin Ti,Efecto,213061,FALSE,0.801,0.475,0,-8.797,0,0.0516,0.141,1.73E-05,0.0639,0.234,98.047,4,reggae,
Coolio;L.V.,Gangsta's Paradise,Gangsta's Paradise,240693,FALSE,0.647,0.514,0,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4,funk,
AC/DC,Highway to Hell,Highway to Hell,208400,FALSE,0.574,0.913,0,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,hard-rock,
The Offspring,Smash,Self Esteem,257826,FALSE,0.488,0.862,0,-7.595,1,0.0476,0.0204,0,0.359,0.706,104.56,4,ska,
Galantis;David Guetta;Little Mix,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),183725,FALSE,0.595,0.784,0,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,4,house,
Bad Bunny;Jhay Cortez,EL ÚLTIMO TOUR DEL MUNDO,DÁKITI,205090,TRUE,0.731,0.573,0,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,4,reggae,
Scorpions,Comeblack,Still Loving You,403453,FALSE,0.282,0.605,0,-4.916,0,0.0294,0.0047,0.00144,0.103,0.0783,103.929,4,german,
Ellie Goulding,Delirium (Deluxe),"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534,FALSE,0.262,0.606,0,-6.646,1,0.0484,0.247,0,0.125,0.275,189.857,4,electro,
Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,185573,FALSE,0.6,0.76,0,-6.124,0,0.0452,0.166,4.09E-05,0.189,0.519,158.078,4,j-pop,
bôa,Twilight,Duvet,203600,FALSE,0.583,0.888,0,-9.414,0,0.0349,0.191,4.58E-05,0.0936,0.706,93.206,4,indie-pop,
Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,La Llevo Al Cielo (Ft. Ñengo Flow),La Llevo Al Cielo (Ft. Ñengo Flow),254920,TRUE,0.795,0.845,0,-3.809,0,0.135,0.105,1.14E-05,0.172,0.769,170.023,4,reggaeton,
Rick James,Street Songs (Deluxe Edition),Super Freak,205466,FALSE,0.838,0.794,0,-8.245,0,0.0531,0.22,0,0.0575,0.962,132.446,4,soul,
Nio Garcia;Casper Magico;Bad Bunny;Darell;Ozuna;Nicky Jam,Te Boté (Remix),Te Boté - Remix,417920,TRUE,0.903,0.675,0,-3.445,0,0.214,0.542,1.28E-05,0.0595,0.442,96.507,4,reggaeton,
Jonas Blue;Why Don't We,Don’t Wake Me Up,Don’t Wake Me Up,188894,FALSE,0.621,0.747,0,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015,4,dance,
Sidhu Moose Wala;Sunny Malton,No Name,Never Fold (feat. Sunny Malton),183225,FALSE,0.814,0.786,0,-5.178,0,0.232,0.069,0,0.0976,0.797,93.025,4,hip-hop,
Anne-Marie,Speak Your Mind (Deluxe),2002,186986,FALSE,0.697,0.683,0,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,4,dance,
Bad Bunny,Un Verano Sin Ti,Neverita,173119,FALSE,0.876,0.498,0,-7.511,1,0.0478,0.0706,0,0.143,0.428,122.016,4,latin,
mazie,the rainbow cassette,dumb dumb,125256,FALSE,0.783,0.472,0,-8.392,1,0.0427,0.22,0.000458,0.0798,0.589,122.052,4,indie,
Drowning Pool,Sinner,Bodies,201960,FALSE,0.656,0.932,0,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4,metal,
Måneskin,THE LONELIEST,THE LONELIEST,247067,FALSE,0.519,0.595,0,-5.001,1,0.0283,0.00151,0,0.0762,0.237,129.786,4,rock,
Aerosmith,Get A Grip,Crazy,316693,FALSE,0.37,0.866,0,-3.879,0,0.0384,0.0868,0,0.137,0.427,162.086,3,hard-rock,
Myke Towers;Jhay Cortez,Ande Con Quien Ande,Ande Con Quien Ande,208734,TRUE,0.825,0.736,0,-5.55,1,0.0913,0.0822,0,0.158,0.508,92.028,4,reggaeton,
NMIXX,ENTWURF,DICE,165746,FALSE,0.556,0.798,0,-3.331,1,0.254,0.0848,0,0.33,0.628,131.096,4,k-pop,
Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),Safe And Sound,192789,FALSE,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5,rock,
80purppp,Hex,Hex,122221,FALSE,0.845,0.398,0,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,4,chill,
Denise Julia,NVMD,NVMD,181224,TRUE,0.758,0.674,0,-4.533,1,0.108,0.0903,0,0.0902,0.424,97.977,4,chill,
A$AP Rocky;Skepta,TESTING,Praise The Lord (Da Shine) (feat. Skepta),205040,TRUE,0.854,0.569,0,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,hip-hop,
SEVENTEEN,SEVENTEEN 9th Mini Album 'Attacca',Rock with you,180360,FALSE,0.621,0.816,0,-5.242,1,0.104,0.0966,0,0.134,0.694,163.966,4,k-pop,
salem ilese;TOMORROW X TOGETHER;Alan Walker,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker),152214,FALSE,0.602,0.642,0,-5.404,0,0.211,0.0131,5.33E-06,0.0668,0.54,175.978,4,indie-pop,
El Alfa;Noriel;Trueno,LOS APARATOS,LOS APARATOS,232843,FALSE,0.868,0.878,0,-3.294,1,0.038,0.0509,0.00052,0.0857,0.899,112.987,4,latino,
Cigarettes After Sex,Cigarettes After Sex,K.,320030,FALSE,0.454,0.4,0,-10.261,1,0.0265,0.139,0.846,0.137,0.327,93.719,4,indie-pop,
Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),214846,FALSE,0.791,0.862,0,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,4,pop,
